fixture_id	profile	exact_release	feature_introduction	official_url	retrieval_date	pinned_source_revision	page_heading	code_fence	category	support_status	parse_mode	classification	provenance_status
2.1-industrial	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	industrial-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-boundary-empty	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-empty-clause	expected-error	editor	expected-error	known-gap: GitHub revision lookup returned an empty API result
2.1-boundary-single	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-single-element	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-contextual-keyword	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	contextual-keyword	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
2.1-invalid-encoding	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	invalid-encoding	expected-error	editor	expected-error	known-gap: bytes are inline because TSV is UTF-8 text
3.x-industrial	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	industrial-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-boundary-set-one	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-one-set	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-boundary-set-many	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-many-set	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-recovery	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	malformed-recovery	expected-error	editor	expected-error	known-gap: GitHub revision lookup returned an empty API result
3.x-unsupported-profile	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	unsupported-version	expected-error	strict	expected-error	known-gap: source page is released 3.x, selected profile is intentionally 2.1
4.x-industrial	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	industrial-select	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-boundary-set-two	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	core-04-boundary-two-set	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-recovery	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	malformed-recovery	expected-error	editor	expected-error	known-gap: GitHub revision lookup returned an empty API result
4.x-invalid-encoding	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-query/SELECT/	2026-08-03	unavailable-offline	SELECT	grammar:sql	invalid-encoding	expected-error	editor	expected-error	known-gap: bytes are inline because TSV is UTF-8 text
2.1-insert-values	2.1	2.1	2.1 baseline SELECT; DML/DDL released	https://doris.apache.org/docs/2.1/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
3.x-insert-values	3.x	3.x	2.1 baseline SELECT; DML/DDL released; 3.x window and QUALIFY	https://doris.apache.org/docs/3.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
4.x-insert-values	4.x	4.x	2.1 baseline SELECT; DML/DDL released; 4.x released SELECT	https://doris.apache.org/docs/4.x/sql-manual/sql-statements/data-modification/DML/INSERT/	2026-08-04	unavailable-offline	INSERT	grammar:sql	dml-insert-values	supported	strict	parse-only	known-gap: GitHub revision lookup returned an empty API result
